FIPS,2018,2014,2017,2015,2021,2019,2023,2020,2016,2022,2013,2012,2010,2024
12055,3035,,2836,2710,3609,2987,,3167,2635,2979,,,,
01047,253,,233,245,425,288,566,714,107,824,176,,,
04003,,,,,3311,,2343,,,3132,,,,257
08049,1267,759,1285,984,1267,1248,,1321,1166,998,,71,,
05071,321,148,282,47,439,337,354,362,,628,90,,,
04012,414,,,,530,416,,437,,505,,,,
08019,299,262,278,302,359,265,220,299,305,296,,,,
02060,,1,2,1,,,,1,,,,,,
06035,554,433,485,449,592,541,416,553,463,553,,,,
06061,9590,8000,10157,9405,12413,9212,6675,10867,9934,9542,,,,
08067,1449,1201,2685,1206,1720,1363,909,1728,1254,1316,1184,,,
08003,278,188,240,225,,230,178,261,189,257,210,1,,
06091,76,66,66,66,80,82,68,93,74,73,,,,
04015,7093,,6682,5988,8446,7330,11364,,6238,7643,,,,600
08089,277,233,262,518,664,294,,280,215,211,,,,
12027,519,453,588,535,625,569,,536,718,52,,,,
01051,1441,1006,1471,,2067,1712,,1925,814,1599,,,,
10003,3815,6133,3058,6329,2430,4071,1478,3039,5799,5067,,,,
05065,328,128,206,116,337,322,274,311,168,202,60,,,
02230,8,2,6,1,8,7,8,4,7,6,,,,
08015,752,533,740,529,770,741,,847,661,472,,,,
08007,617,355,575,490,783,578,,727,311,491,1,,,
01073,15849,11241,14707,12201,17347,15619,,15637,14083,17131,10556,,,
06093,989,762,999,884,1105,1002,709,1005,1085,934,,,,
05059,442,71,374,168,541,509,521,372,81,594,,,,
05093,,,,580,415,,,134,,,422,,,
02150,124,97,,32,170,132,96,144,,138,143,,,
05041,66,90,88,119,129,67,183,97,,229,95,,,
01115,2565,1595,2280,1428,2653,2174,,2304,2254,2270,,,,
01025,,82,,12,599,88,198,,56,267,,,,
05089,406,110,340,163,603,295,,316,144,247,54,64,,
05051,2637,2000,2366,1865,3097,2763,1788,3003,2064,933,,,,
01031,714,629,757,797,1415,4790,1096,1227,419,1588,,,,
01009,395,502,209,18,648,269,,633,,1198,503,,,
08011,69,56,48,46,67,70,,63,40,56,35,,,
08027,180,,165,148,233,194,,235,158,178,,79,,
01131,38,6,30,,65,67,52,39,8,304,35,,,
05141,361,207,337,202,582,384,452,490,,502,218,,,
02180,39,,30,8,50,26,14,23,28,31,,24,,
08073,107,,99,102,107,98,,105,79,98,,,,
01107,108,49,76,2,80,291,,66,40,142,53,,,
12061,5782,4971,5922,5700,7249,5856,,6131,5570,5770,,,,
05021,271,112,269,8,308,266,,116,14,164,72,,,
06001,17511,17369,18195,17856,21409,17062,1032,16330,17760,15556,,,,
06021,352,252,285,281,302,335,209,285,336,268,,,,
06111,9852,8897,10176,10509,11524,10017,5892,10062,10271,8573,,,,
04017,,,,1961,,,2025,,,,,,,198
01029,,54,1,100,269,,,13,1,276,30,,,
01003,6831,5616,6334,5655,10808,7556,,16441,6703,10831,4788,,,
06099,6999,6206,7683,7276,7604,6803,4082,6674,7329,5811,,,,
05115,906,460,791,947,1649,1099,962,1129,808,1292,,,,
05121,293,33,257,197,418,316,314,326,126,494,,,,
09009,11370,8383,10804,9410,14544,11488,9682,12313,10012,12038,158,256,,
06081,6593,7379,6846,7042,8744,6194,157,6288,6844,6293,,,,
08065,201,111,220,109,246,189,,189,224,210,,,,
08077,4604,2986,8720,6668,4662,4576,,4726,3701,3655,,,,
04005,2994,,3053,2673,3273,2899,1442,3511,2962,2249,,,,1
01101,3890,3130,3712,,5699,3719,4309,3783,,5114,2834,,,
02020,4012,3041,3947,4406,6393,3999,3026,5809,4157,4637,,,,
05145,1357,1068,1051,335,1756,1435,1009,1514,1386,1181,,,,
08081,296,,292,167,361,271,,316,217,334,157,,,
01063,,13,,21,,,,,14,,22,,,
12067,63,57,94,56,83,57,,82,97,65,,,,
08061,12,13,23,20,6,16,,16,16,11,,16,,
08109,126,89,132,108,206,138,,147,,156,93,,,
01023,,63,3,31,,,,,29,,,,,
08023,45,80,61,101,72,51,,81,7,69,150,,,
12041,305,17,388,298,364,342,,375,391,309,217,,,
08083,520,322,393,405,540,479,,511,402,237,,,,
06023,1793,1460,1733,1561,1953,1823,1263,1858,1755,1545,,,,
08107,984,799,1064,896,1222,975,,1229,978,879,,671,,
05069,849,263,870,557,1089,778,,962,870,626,,,,
04025,,,,,9017,,5095,,,7209,,,,311
06067,25553,20935,26011,24347,27612,24775,14720,24488,25841,21699,,,,
12017,5946,5910,5601,5526,6872,5510,,6000,5699,6215,,,,
01133,460,451,416,460,543,1230,821,545,468,1674,381,,,
