FIPS,Year,TotalSales,AssdTotalValue_mean,AssdTotalValue_median,sales_ratio_mean,sales_ratio_median,sales_ratio_non_nulls_count,freq_valid_sales_ratio
08041,2015,31492,18456.544519242983,14960.0,0.10419198303304254,0.07960157400531441,31492,1.0
08041,2014,13311,16714.74945533769,13610.0,,,,
08039,2023,546,37626.35531135531,36915.0,0.06781966895265934,0.06700103493436949,546,1.0
08039,2022,896,26525.74776785714,27995.0,0.09711786923405681,0.06950829676003495,896,1.0
08039,2021,900,29503.588888888888,29830.0,0.11326044044633098,0.07150636620851204,900,1.0
08039,2020,788,28121.142131979694,29520.0,0.11689633884019497,0.07150677680996897,788,1.0
08039,2019,701,30817.674750356633,31620.0,0.11194398335323152,0.07150688782682035,701,1.0
08039,2018,659,26354.355083459788,26970.0,0.10429082453196169,0.0720038350910834,659,1.0
08039,2017,723,26215.36652835408,27120.0,0.11499467402167271,0.07200437716578516,723,1.0
08039,2016,663,22720.150829562594,21780.0,,,,
08039,2015,1278,22005.712050078248,21270.0,0.1060030274780662,0.07960331966841495,1278,1.0
08039,2014,601,19139.46755407654,18510.0,,,,
08037,2023,1372,123685.64868804664,79745.0,0.06712953382671703,0.06700013370913416,1372,1.0
08037,2022,1751,88932.5813820674,44410.0,0.07347682554549374,0.06950024016418498,1751,1.0
08037,2021,1990,103289.09547738693,51315.0,0.08126955870398693,0.07150046931337556,1962,0.985929648241206
08037,2020,2136,100127.265917603,50025.0,0.08449956507662353,0.07150036988015619,2136,1.0
08037,2019,1763,75144.14634146342,45480.0,0.08397307165817133,0.07150065060944845,1763,1.0
08037,2018,1778,85756.27671541057,41395.0,0.08867088979294431,0.07200049419617627,1778,1.0
08037,2017,1760,70970.60227272728,38325.0,0.09107418703402541,0.07200046446058539,1760,1.0
08037,2016,1591,60746.14079195474,36620.0,0.07964742936158542,0.07960131604472756,4,0.00251414204902577
08037,2015,3168,67991.35732323233,36920.0,0.08925587503421076,0.07960048426150121,3168,1.0
08037,2014,1410,62084.81560283688,30755.0,,,,
08035,2022,10408,33631.24039200615,29755.0,0.0999404874562614,0.06950168332050695,10408,1.0
08035,2021,11880,39312.4494949495,35000.0,0.1532882548266614,0.06950365569424034,11860,0.9983164983164983
08035,2020,11072,33982.77095375722,30340.0,0.10724232366547044,0.07150215411899193,11072,1.0
08035,2019,10107,33963.09587414663,30060.0,0.10373585158350267,0.07150189207536356,10107,1.0
08035,2018,9994,29739.194516710028,26140.0,0.10624883601930939,0.07200246358806228,9992,0.9997998799279568
08035,2017,10383,29535.21140325532,26150.0,0.10775745158884861,0.07200254937256152,10383,1.0
08035,2016,9414,26840.37391119609,23960.0,,,,
08035,2015,20091,27191.356328704394,24330.0,0.11622292084338237,0.07960326705760788,20091,1.0
08035,2014,9248,22021.154844290657,19500.0,,,,
08033,2022,27,14535.222222222223,9068.0,0.08537525304363236,0.069501250551714,27,1.0
08033,2021,42,13715.857142857143,9302.5,0.0909253475664886,0.07150088337265403,42,1.0
08033,2020,40,12742.55,10420.0,0.10550089811627317,0.0715016011038036,40,1.0
08033,2019,41,14719.609756097561,14036.0,0.10013195163690339,0.07960009658995465,41,1.0
08033,2018,43,15161.093023255815,12539.0,0.09427897572859285,0.07959996747703066,43,1.0
08033,2017,16,10664.8125,8608.0,0.09275149290243159,0.07959991645371245,16,1.0
08033,2016,22,9105.59090909091,8352.0,0.10829147247806291,0.07960139249462075,22,1.0
08033,2015,17,9066.176470588236,6656.0,0.07960128959532355,0.07960093679293966,17,1.0
08033,2014,17,97826.82352941176,76350.0,,,,
08031,2022,1761,34341.87961385577,28340.0,0.06949387222795862,0.06949933831972321,1760,0.9994321408290744
